Name;Key;SleeperName
Jonathan Taylor;TaylJo02;Jonathan Taylor
Josh Allen;AlleJo02;Josh Allen
Jalen Hurts;HurtJa00;Jalen Hurts
Patrick Mahomes;MahoPa00;Patrick Mahomes
Lamar Jackson;JackLa00;Lamar Jackson
Justin Herbert;HerbJu00;Justin Herbert
Christian McCaffrey;McCaCh01;Christian McCaffrey
Derrick Henry;HenrDe00;Derrick Henry
Cooper Kupp;KuppCo00;Cooper Kupp
Austin Ekeler;EkelAu00;Austin Ekeler
Dalvin Cook;CookDa01;Dalvin Cook
Justin Jefferson;JeffJu00;Justin Jefferson
Kyler Murray;MurrKy00;Kyler Murray
Alvin Kamara;KamaAl00;Alvin Kamara
Joe Mixon;MixoJo00;Joe Mixon
Ja'Marr Chase;ChasJa00;Ja'Marr Chase
Najee Harris;HarrNa00;Najee Harris
Saquon Barkley;BarkSa00;Saquon Barkley
Nick Chubb;ChubNi00;Nick Chubb
Joe Burrow;BurrJo01;Joe Burrow
Dak Prescott;PresDa01;Dak Prescott
Tom Brady;BradTo00;Tom Brady
Travis Kelce;KelcTr00;Travis Kelce
Russell Wilson;WilsRu00;Russell Wilson
Javonte Williams;WillJa10;Javonte Williams
Trey Lance;LancTr00;Trey Lance
Aaron Jones;JoneAa00;Aaron Jones
D'Andre Swift;SwifDA00;D'Andre Swift
Davante Adams;AdamDa01;Davante Adams
Aaron Rodgers;RodgAa00;Aaron Rodgers
CeeDee Lamb;LambCe00;CeeDee Lamb
Stefon Diggs;DiggSt00;Stefon Diggs
Matthew Stafford;StafMa00;Matthew Stafford
Leonard Fournette;FourLe00;Leonard Fournette
Deebo Samuel;SamuDe00;Deebo Samuel
A.J. Brown;BrowAJ00;A.J. Brown
James Conner;ConnJa00;James Conner
Derek Carr;CarrDe02;Derek Carr
Tyreek Hill;HillTy00;Tyreek Hill
Cam Akers;AkerCa00;Cam Akers
Mark Andrews;AndrMa00;Mark Andrews
Justin Fields;FielJu00;Justin Fields
Kirk Cousins;CousKi00;Kirk Cousins
Tua Tagovailoa;TagoTu00;Tua Tagovailoa
Josh Jacobs;JacoJo01;Josh Jacobs
Ezekiel Elliott;ElliEz00;Ezekiel Elliott
Mike Evans;EvanMi00;Mike Evans
Michael Pittman Jr.;PittMi01;Michael Pittman
Trevor Lawrence;LawrTr00;Trevor Lawrence
Elijah Mitchell;MitcEl00;Elijah Mitchell
Keenan Allen;AlleKe00;Keenan Allen
Dameon Pierce;PierDa01;Dameon Pierce
Tee Higgins;HiggTe00;Tee Higgins
Kyle Pitts;PittKy00;Kyle Pitts
Breece Hall;HallBr03;Breece Hall
Travis Etienne;EtieTr00;Travis Etienne
Jameis Winston;WinsJa00;Jameis Winston
Mike Williams;WillMi07;Mike Williams
Courtland Sutton;SuttCo00;Courtland Sutton
Clyde Edwards-Helaire;EdwaCl00;Clyde Edwards-Helaire
George Kittle;KittGe00;George Kittle
Darren Waller;WallDa01;Darren Waller
D.J. Moore;MoorD.00;DJ Moore
Chase Edmonds;EdmoCh00;Chase Edmonds
Terry McLaurin;McLaTe00;Terry McLaurin
Devin Singletary;SingDe00;Devin Singletary
David Montgomery;MontDa01;David Montgomery
J.K. Dobbins;DobbJK00;J.K. Dobbins
D.K. Metcalf;MetcDK00;DK Metcalf
Chris Godwin;GodwCh00;Chris Godwin
Gabriel Davis;DaviGa01;Gabe Davis
Matt Ryan;RyanMa00;Matt Ryan
Jaylen Waddle;WaddJa00;Jaylen Waddle
Diontae Johnson;JohnDi01;Diontae Johnson
AJ Dillon;DillAJ00;AJ Dillon
Brandin Cooks;CookBr00;Brandin Cooks
Allen Robinson;RobiAl02;Allen Robinson
Jerry Jeudy;JeudJe00;Jerry Jeudy
Marquise Brown;BrowMa04;Marquise Brown
DeAndre Hopkins;HopkDe00;DeAndre Hopkins
Cordarrelle Patterson;PattCo00;Cordarrelle Patterson
T.J. Hockenson;HockTJ00;T.J. Hockenson
Deshaun Watson;WatsDe00;Deshaun Watson
Antonio Gibson;GibsAn00;Antonio Gibson
JuJu Smith-Schuster;SmitJu00;JuJu Smith-Schuster
Kareem Hunt;HuntKa00;Kareem Hunt
Melvin Gordon;GordMe00;Melvin Gordon
Dalton Schultz;SchuDa00;Dalton Schultz
Treylon Burks;BurkTr00;Treylon Burks
Dallas Goedert;GoedDa00;Dallas Goedert
Tony Pollard;PollTo00;Tony Pollard
Amari Cooper;CoopAm00;Amari Cooper
Darnell Mooney;MoonDa00;Darnell Mooney
Amon-Ra St. Brown;StxxAm00;Amon-Ra St. Brown
Michael Thomas;ThomMi05;Michael Thomas
Rhamondre Stevenson;StevRh00;Rhamondre Stevenson
Rashod Bateman;BateRa00;Rashod Bateman
Damien Harris;HarrDa06;Damien Harris
Kenneth Walker III;WalkKe00;Kenneth Walker
Brandon Aiyuk;AiyuBr00;Brandon Aiyuk
Jared Goff;GoffJa00;Jared Goff
Rashaad Penny;PennRa00;Rashaad Penny
Mac Jones;JoneMa05;Mac Jones
Dawson Knox;KnoxDa00;Dawson Knox
Allen Lazard;LazaAl00;Allen Lazard
Drake London;LondDr00;Drake London
Elijah Moore;MoorEl00;Elijah Moore
Robert Woods;WoodRo02;Robert Woods
Ryan Tannehill;TannRy00;Ryan Tannehill
Daniel Jones;JoneDa05;Daniel Jones
Malik Willis;WillMa12;Malik Willis
Miles Sanders;SandMi01;Miles Sanders
Marcus Mariota;MariMa01;Marcus Mariota
Davis Mills;MillDa02;Davis Mills
Adam Thielen;ThieAd00;Adam Thielen
DeVonta Smith;SmitDe07;DeVonta Smith
Baker Mayfield;MayfBa00;Baker Mayfield
Christian Kirk;KirkCh01;Christian Kirk
Carson Wentz;WentCa00;Carson Wentz
Indianapolis Colts;IND;Indianapolis Colts
James Robinson;RobiJa00;James Robinson
Mitchell Trubisky;TrubMi00;Mitch Trubisky
Jahan Dotson;DotsJa00;Jahan Dotson
Isaiah McKenzie;McKeIs00;Isaiah McKenzie
Brian Robinson Jr.;RobiBr01;Brian Robinson
Hunter Renfrow;RenfHu00;Hunter Renfrow
Alexander Mattison;MattAl01;Alexander Mattison
Darrell Henderson;HendDa00;Darrell Henderson
